X;Y;amenageur;operateur;enseigne;idstation;station;adstation;codeinsee;Xlongitude;Ylatitude;nbrepdc;idpdc;puissmax;typeprise;accesrecharge;accessibilité;observations;date_maj
6.9395586;43.5060764005419;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*41*_*_*_;Théoule-sur-Mer Parking Place Général Bertrand;;06138;6.9395586;43.5060764005419;2;;;type2,typee;Payant;24/7;node/7235364247;2020/03/01
6.9341181;43.4850789005419;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*42*_*_*_;Théoule-sur-Mer Port de la Figueirette;;06138;6.9341181;43.4850789005419;2;;;type2,typee;Payant;24/7;node/7254805827;2020/03/01
6.966343;43.5498520005416;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*43*_*_*_;Cannes Contre Allée Francis Tonner;;06029;6.966343;43.5498520005416;2;;;type2,typee;Payant;24/7;node/7254805828;2020/03/01
6.9973783;43.6010909005412;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*44*_*_*_;Mougins Parking du Moulin de la Croix;;06085;6.9973783;43.6010909005412;2;;;type2,typee;Payant;24/7;node/7254762159;2020/03/01
7.0379015;43.5876016005413;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*45*_*_*_;Mougins Centre sportif de Mougins le Haut;;06085;7.0379015;43.5876016005413;2;;;type2,typee;Payant;24/7;node/5916780871;2020/03/01
6.9876818;43.6041686005412;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*46*_*_*_;Mougins Parking CC Tournamy 700;;06085;6.9876818;43.6041686005412;2;;;type2,typee;Payant;24/7;node/7254762158;2020/03/01
7.0155548;43.6096384005411;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*47*_*_*_;Mougins Parking Salle omnisports du Font de l'Orme;;06085;7.0155548;43.6096384005411;2;;;type2,typee;Payant;24/7;node/5843791634;2020/03/01
6.998574;43.5808240005414;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*48*_*_*_;Mougins Parking piscine des Campelières;;06085;6.998574;43.5808240005414;2;;;type2,typee;Payant;24/7;node/7254778505;2020/03/01
7.005574;43.5628160005415;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*6*_*_*_;FR*A18*P*WIIZ*6*_*_*_ - Cannes Parking Brousailles (Hôpital);;06029;7.005574;43.5628160005416;2;;;type2,typee;Payant;24/7;node/6087608272;2020/03/14
7.0069924;43.5497720005416;CAPL;Sodetrel;wiiiz;FR*A16*P*WIIZ*8*_*_*_;FR*A18*P*WIIZ*8*_*_*_ - Cannes Square Mistral;;06029;7.0069924;43.5497720005416;2;;;type2,typee;Payant;24/7;node/5879878385;2020/03/01
